,model,early_stop,unfairness_reg,lr,val_score,abs_score,over_score,under_score,non_parity_score,,test
non_parity_score,gmf,7.793372942716118e-07,0.5091953128726919,0.22637124956008406,5.5164098739624023e-05,0.0002282261848449707,9.465217590332031e-05,0.00022733211517333984,4.07099723815918e-05,0.00011467933654785156,U
rmse,gmf,7.793372942716118e-07,0.5091953128726919,0.22637124956008406,0.42615026235580444,0.422690212726593,0.4242187440395355,0.4235786497592926,0.4127448499202728,0.4070182740688324,U
val_score,nmf,6.3931880958262855e-06,0.48850788752645574,0.2527573826721601,0.065658800303936,0.0683891773223877,0.06676162034273148,0.06695466488599777,0.06889542937278748,0.0680948942899704,O
abs_score,nmf,6.3931880958262855e-06,0.48850788752645574,0.2527573826721601,0.06392624229192734,0.0655209869146347,0.06676162034273148,0.0644386038184166,0.06889542937278748,0.06543538719415665,O
over_score,nmf,6.3931880958262855e-06,0.48850788752645574,0.2527573826721601,0.030604240596294404,0.04082828571399053,0.0,0.03553734968105952,0.0,0.03138685166835785,O
under_score,nmf,6.3931880958262855e-06,0.48850788752645574,0.2527573826721601,0.03505455364783605,0.02756089667479197,0.06676162054141363,0.03141731744011243,0.06889542867739995,0.03670803993940353,O
non_parity_score,nmf,6.3931880958262855e-06,0.48850788752645574,0.2527573826721601,7.170438766479492e-05,0.0002117753028869629,0.00016096234321594238,5.048513412475586e-05,0.00013172626495361328,6.35385513305664e-05,O
rmse,nmf,6.3931880958262855e-06,0.48850788752645574,0.2527573826721601,0.7796929478645325,0.6111876368522644,0.8455718755722046,0.5576035976409912,0.9828321933746338,0.7013537883758545,O
val_score,nmf,4.592540223679884e-06,0.29062105601189525,0.20774930559026167,0.1628831923007965,0.16572843492031097,0.1662011742591858,0.1654282957315445,0.16663005948066711,0.16395951807498932,P
abs_score,nmf,4.592540223679884e-06,0.29062105601189525,0.20774930559026167,0.1529109627008438,0.15666814148426056,0.15376973152160645,0.15157301723957062,0.1569104790687561,0.15383785963058472,P
over_score,nmf,4.592540223679884e-06,0.29062105601189525,0.20774930559026167,0.0984100412329038,0.0914360836148262,0.07721587498982747,0.12070847084124883,0.1151008360584577,0.09815041869878768,P
under_score,nmf,4.592540223679884e-06,0.29062105601189525,0.20774930559026167,0.06447316894928615,0.07429234877228737,0.08898528714974721,0.04471982717514038,0.05152922069032987,0.0658090994755427,P
non_parity_score,nmf,4.592540223679884e-06,0.29062105601189525,0.20774930559026167,0.00015926361083984375,7.152557373046875e-07,3.4183263778686523e-05,0.00011670589447021484,5.4836273193359375e-05,0.00010865926742553711,P
rmse,nmf,4.592540223679884e-06,0.29062105601189525,0.20774930559026167,0.6592140793800354,0.5663647055625916,0.5707172155380249,0.4659672975540161,0.5720212459564209,0.5497650504112244,P
val_score,nmf,3.7310393694987727e-06,0.43990369214926617,0.13198270170719736,0.055069681257009506,0.05980388820171356,0.057718321681022644,0.057113394141197205,0.05899079144001007,0.05818052962422371,OP
abs_score,nmf,3.7310393694987727e-06,0.43990369214926617,0.13198270170719736,0.055069681257009506,0.05365030840039253,0.05446024611592293,0.05379652604460716,0.05899079144001007,0.056082069873809814,OP
over_score,nmf,3.7310393694987727e-06,0.43990369214926617,0.13198270170719736,0.0,0.035249972939491274,0.0440662948290507,0.05455263495445251,0.0,0.0016347512602806092,OP
under_score,nmf,3.7310393694987727e-06,0.43990369214926617,0.13198270170719736,0.05506968637307485,0.024553917050361633,0.013652026653289795,0.00256075660387675,0.05899079203605652,0.05654577950636546,OP
non_parity_score,nmf,3.7310393694987727e-06,0.43990369214926617,0.13198270170719736,1.0533258318901062e-05,9.1552734375e-05,0.00012320280075073242,1.2755393981933594e-05,1.411139965057373e-05,6.496906280517578e-05,OP
rmse,nmf,3.7310393694987727e-06,0.43990369214926617,0.13198270170719736,0.7099778652191162,0.4015769958496094,0.42054879665374756,0.4071199893951416,0.5351611375808716,0.411910742521286,OP
val_score,nmf,7.072783104973335e-06,0.44328252772272936,0.24070583347811542,0.14108921587467194,0.13580222427845,0.1375032365322113,0.13661521673202515,0.1332976222038269,0.1369507610797882,U
abs_score,nmf,7.072783104973335e-06,0.44328252772272936,0.24070583347811542,0.12295915931463242,0.12671813368797302,0.13129697740077972,0.125963032245636,0.1245790645480156,0.12942248582839966,U
over_score,nmf,7.072783104973335e-06,0.44328252772272936,0.24070583347811542,0.08458195904890696,0.07512247463067373,0.06047768334547678,0.08383773426214854,0.08930705557266871,0.08674996554851531,U
under_score,nmf,7.072783104973335e-06,0.44328252772272936,0.24070583347811542,0.05650726154446602,0.06067975973089536,0.07702554792165756,0.052777495781580606,0.043990583519140876,0.05020078897476196,U
non_parity_score,nmf,7.072783104973335e-06,0.44328252772272936,0.24070583347811542,6.03795051574707e-05,0.00011175870895385742,9.21487808227539e-05,0.00016504526138305664,0.00018799304962158203,6.54458999633789e-05,U
rmse,nmf,7.072783104973335e-06,0.44328252772272936,0.24070583347811542,0.5821552276611328,0.6951909065246582,0.5947630405426025,0.6169161796569824,0.6685870885848999,0.8823590278625488,U
val_score,nmf,3.168769890357811e-07,0.30474296467152284,0.19401462185717996,0.06878916174173355,0.06795782595872879,0.06669224053621292,0.06914808601140976,0.06560949981212616,0.06834965944290161,O
abs_score,nmf,3.168769890357811e-07,0.30474296467152284,0.19401462185717996,0.06878916174173355,0.059768982231616974,0.06380809843540192,0.06731998175382614,0.06560949981212616,0.06584453582763672,O
over_score,nmf,3.168769890357811e-07,0.30474296467152284,0.19401462185717996,0.0,0.03944230695565542,0.04531753202279409,0.032305440107981365,0.0,0.012065015733242035,O
under_score,nmf,3.168769890357811e-07,0.30474296467152284,0.19401462185717996,0.06878916263580322,0.028515521387259164,0.021374712387720745,0.036842651069164276,0.06560949971278508,0.056284642666578295,O
non_parity_score,nmf,3.168769890357811e-07,0.30474296467152284,0.19401462185717996,4.126131534576416e-05,5.841255187988281e-05,0.00010055303573608398,0.00010260939598083496,7.242709398269653e-05,0.00022485852241516113,O
rmse,nmf,3.168769890357811e-07,0.30474296467152284,0.19401462185717996,0.7853941917419434,0.3914947807788849,0.5389391779899597,0.6428490281105042,0.7107136845588684,0.43037649989128113,O
val_score,gmf,6.760935977042363e-06,0.5438498116384751,0.2172500284222568,0.16618065536022186,0.16804556548595428,0.16414429247379303,0.16583846509456635,0.16501173377037048,0.16208957135677338,P
abs_score,gmf,6.760935977042363e-06,0.5438498116384751,0.2172500284222568,0.16618065536022186,0.16804556548595428,0.15525606274604797,0.16583846509456635,0.1219286322593689,0.13098199665546417,P
over_score,gmf,6.760935977042363e-06,0.5438498116384751,0.2172500284222568,0.0,0.0,0.004444112181663513,0.0,0.13081725666920344,0.14439499775568646,P
under_score,gmf,6.760935977042363e-06,0.5438498116384751,0.2172500284222568,0.16618066678444546,0.16804556767145792,0.15970017890135446,0.16583845953146617,0.03419447769721349,0.01769457886616389,P
non_parity_score,gmf,6.760935977042363e-06,0.5438498116384751,0.2172500284222568,3.1560659408569336e-05,5.960464477539063e-08,2.765655517578125e-05,0.00012412667274475098,0.0006549954414367676,0.0003052949905395508,P
rmse,gmf,6.760935977042363e-06,0.5438498116384751,0.2172500284222568,0.4405891001224518,0.438789427280426,0.41602396965026855,0.4375094473361969,0.4219549894332886,0.4140164852142334,P
val_score,nmf,1.1149332108207797e-06,0.4307816542047733,0.2491885731826788,0.05489719286561012,0.05831344425678253,0.054753925651311874,0.05697013810276985,0.05607086047530174,0.05677085369825363,OP
abs_score,nmf,1.1149332108207797e-06,0.4307816542047733,0.2491885731826788,0.053959522396326065,0.057499960064888,0.053504351526498795,0.05697013810276985,0.052981141954660416,0.054686788469552994,OP
over_score,nmf,1.1149332108207797e-06,0.4307816542047733,0.2491885731826788,0.03504487425088883,0.030895839234193166,0.017738967041174572,0.0,0.009243805309136708,0.020774139563242595,OP
under_score,nmf,1.1149332108207797e-06,0.4307816542047733,0.2491885731826788,0.01985232045253118,0.02741760849952698,0.03701496437191963,0.05697013864914576,0.046827057600021364,0.03599671353896459,OP
non_parity_score,nmf,1.1149332108207797e-06,0.4307816542047733,0.2491885731826788,3.62396240234375e-05,3.8743019104003906e-05,2.7418136596679688e-05,1.1920928955078125e-05,0.00012549757957458496,7.390975952148438e-05,OP
rmse,nmf,1.1149332108207797e-06,0.4307816542047733,0.2491885731826788,0.6086194515228271,0.6539874076843262,0.8003979325294495,0.8757134675979614,0.4418574571609497,0.7538163661956787,OP
val_score,gmf,6.252728249600026e-06,0.6936524950499501,0.18176262324025869,0.13414181768894196,0.13823570311069489,0.1359752118587494,0.13697820901870728,0.13605333864688873,0.1357502043247223,U
